Univ. Rank,First Initial,Last Initial,2017,2018,2019,2020,2021,2022,2023,h-index,i-10 index
56,H,A,496,763,969,1150,1488,2489,3684,23,35
56,V,B,163,261,299,369,590,595,746,32,56
56,Z,C,90,83,103,92,131,258,401,24,41
56,B,C,870,895,719,685,668,614,536,56,168
56,E,D,19,28,62,86,107,141,143,14,19
56,R,E,203,227,231,252,251,211,199,28,57
56,M,G,248,595,955,1330,1717,1873,2155,26,49
56,K,J,22,13,39,39,48,52,52,10,11
56,Y,K,192,280,608,1012,1288,1436,1660,28,55
56,P,K,110,85,83,136,158,227,267,21,37
