Univ. Rank,First Initial,Last Initial,2017,2018,2019,2020,2021,2022,2023,h-index,i-10 index
56,H,A,496,763,969,1150,1489,2490,3684,23,35
56,V,B,163,265,299,369,590,595,746,32,56
56,Z,C,90,83,103,91,130,258,406,24,41
56,B,C,854,912,732,685,668,609,536,56,167
56,E,D,19,28,62,84,107,141,143,14,18
56,R,E,199,227,231,248,251,211,199,28,56
56,M,G,248,595,955,1330,1717,1873,2173,26,49
56,K,J,22,13,38,39,48,52,52,10,11
56,Y,K,192,280,608,1012,1277,1436,1660,28,55
56,P,K,111,85,83,136,158,225,271,21,37
